Academic Year,Scholarship Name,Sector Type,TAP Sector Group,TAP College Code,Federal School Code,TAP College Name,Scholarship Headcount,Scholarship Dollars
2018,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1414,2693,CUNY JOHN JAY COLLEGE,457,1731090.43
2018,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1415,10097,CUNY MEDGER EVERS COLLEGE,52,135860.31
2018,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1405,2696,CUNY NYC COLLEGE OF TECHNOLOGY,206,587913.94
2018,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1416,2690,CUNY QUEENS COLLEGE,512,1873099.73
2018,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1418,4759,CUNY YORK COLLEGE,177,569833.32
2018,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1400,2692,CUNY BRONX CC,10,28800.5
2018,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1401,8611,CUNY HOSTOS CC,16,38842.5
2018,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1402,2694,CUNY KINGSBOROUGH CC,40,114239.6
2018,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1403,10051,CUNY LAGUARDIA CC,40,116128
2018,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1404,2691,CUNY MANHATTAN CC,123,336568.44
2018,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1407,2697,CUNY QUEENSBOROUGH CC,94,233087.35
2018,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1421,42101,STELLA & CHARLES GUTTMAN CC,37,108991.5
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,174,2711,CORNELL UNIV STATUTORY COLLEGES,18,80203
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,3030,2859,MORRISVILLE STATE COLLEGE,146,509345.72
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,6030,2859,MORRISVILLE STATE COLLEGE,80,332129.66
